CustomerID,Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,Category
459227,Female,Yes,32,No,Engineer,9,Low,4,Category 6
459229,Female,Yes,65,Yes,Lawyer,1,Average,4,Category 6
459236,Female,Yes,78,No,Lawyer,0,High,2,Category 6
459237,Male,No,33,Yes,Artist,1,Low,6,Category 6
459244,Male,Yes,48,Yes,Artist,1,Low,1,Category 6
459247,Male,Yes,58,Yes,Executive,1,Average,5,Category 6
459258,Female,Yes,83,Yes,Lawyer,1,High,,Category 6
459263,Female,No,30,No,Healthcare,9,Low,4,Category 6
459264,Female,No,35,Yes,Artist,0,Low,2,Category 6
459266,Male,No,32,Yes,Healthcare,6,Low,5,Category 6
459270,Male,Yes,69,Yes,Homemaker,1,High,2,Category 6
459284,Female,Yes,71,Yes,Lawyer,1,High,2,Category 6
459287,Male,No,43,Yes,Lawyer,0,Low,1,Category 4
459288,Male,Yes,37,Yes,Artist,0,Low,2,Category 6
459289,Male,No,42,Yes,Doctor,0,Low,1,Category 6
459290,Female,Yes,70,Yes,Doctor,1,Average,2,Category 6
459292,Male,No,46,Yes,Artist,0,Low,2,Category 6
459293,Male,No,21,No,Healthcare,,Low,,Category 1
459296,Male,Yes,70,Yes,Artist,0,Average,2,Category 6
459300,Female,Yes,61,Yes,Artist,1,Low,,Category 6
459307,Male,Yes,60,Yes,Entertainment,1,Low,1,Category 6
459310,Male,No,37,Yes,Entertainment,0,Low,2,Category 2
459316,Male,Yes,30,Yes,Healthcare,1,Low,2,Category 6
459318,Female,No,32,Yes,Engineer,1,Low,3,Category 6
459320,Male,Yes,26,Yes,Executive,0,Low,3,Category 6
459322,Male,No,42,Yes,Marketing,0,Low,1,Category 6
459323,Female,No,18,No,Doctor,,Low,,Category 6
459338,Male,Yes,80,No,Executive,,Low,,Category 6
459339,Male,Yes,29,Yes,Healthcare,8,High,2,Category 6
459344,Female,Yes,88,Yes,Artist,1,High,2,Category 6
459347,Male,Yes,70,Yes,Lawyer,1,Low,1,Category 6
459349,Female,Yes,50,Yes,Artist,1,High,4,Category 6
459352,Male,Yes,43,Yes,Doctor,4,Average,4,Category 3
459353,Male,Yes,51,Yes,Artist,6,Average,2,Category 6
459354,Female,Yes,50,Yes,Artist,,High,3,Category 6
459355,Female,Yes,74,No,Homemaker,,Low,1,Category 6
459360,Female,No,29,Yes,Healthcare,,Low,3,Category 6
459361,Female,No,32,Yes,Engineer,,Low,2,Category 6
459362,Male,Yes,60,No,Executive,0,Low,2,Category 6
459363,Male,No,46,Yes,Artist,2,Low,1,Category 6
459364,Female,Yes,81,Yes,Marketing,0,Low,2,Category 6
459369,Male,Yes,41,No,Engineer,,Average,7,Category 4
459375,Male,Yes,22,No,Executive,0,High,4,Category 6
459377,Male,Yes,37,Yes,Artist,0,Average,3,Category 6
459383,Male,Yes,43,No,Engineer,0,Low,1,Category 6
459384,Male,Yes,50,Yes,Artist,1,Average,3,Category 6
459385,Female,Yes,35,Yes,Artist,1,Average,2,Category 7
459386,Male,Yes,65,No,Lawyer,1,High,2,Category 6
459391,Female,No,41,Yes,Engineer,0,Low,4,Category 6
459394,Male,No,28,No,Entertainment,8,Low,2,Category 6
459397,Male,Yes,55,Yes,Artist,4,Average,2,Category 6
459398,Female,Yes,58,No,Lawyer,,High,2,Category 6
459401,Male,No,28,No,Healthcare,1,Low,3,
459403,Male,Yes,48,Yes,Artist,,Average,4,Category 7
459405,Female,Yes,78,No,Doctor,1,High,2,Category 6
459407,Female,No,35,Yes,Doctor,1,Low,3,Category 6
459409,Female,Yes,76,Yes,Lawyer,0,High,2,Category 6
459410,Female,Yes,88,Yes,Lawyer,1,High,2,Category 6
459412,Male,Yes,61,Yes,,1,Average,3,Category 6
459413,Female,Yes,79,Yes,Artist,,High,2,Category 6
459415,Male,No,30,No,Doctor,0,Low,4,Category 6
459418,Male,Yes,69,No,Executive,0,High,2,Category 6
459419,Male,Yes,65,Yes,Doctor,1,Average,2,Category 6
459420,Female,Yes,70,Yes,Lawyer,1,Low,2,Category 6
459421,Male,Yes,32,No,Healthcare,0,Average,4,Category 6
459422,Male,Yes,46,Yes,Entertainment,,Low,4,Category 6
459423,Male,No,21,No,Healthcare,8,Low,5,Category 6
459424,Male,Yes,47,Yes,Doctor,,Low,3,Category 6
459428,Female,No,39,No,Marketing,0,Low,2,Category 4
459432,Male,Yes,85,Yes,Lawyer,0,Low,3,Category 6
459436,Female,No,66,Yes,Artist,0,Low,2,Category 6
459439,Female,Yes,50,Yes,Artist,1,Average,2,Category 6
459445,Female,Yes,42,Yes,Artist,0,Average,3,Category 6
459447,Male,Yes,53,Yes,Artist,9,Low,1,Category 6
459449,Male,Yes,37,Yes,Artist,,Low,2,Category 6
459451,Female,Yes,45,Yes,Artist,1,Low,2,Category 6
459456,Female,No,66,No,Lawyer,,Low,1,Category 6
459458,Male,No,33,No,Marketing,,Low,,Category 6
459459,Male,Yes,40,Yes,Artist,4,Low,1,Category 6
459461,Female,Yes,35,Yes,Artist,1,Low,1,Category 1
459464,Male,No,27,Yes,Artist,,Low,2,Category 6
459466,Female,Yes,48,Yes,Artist,0,Average,3,Category 4
459467,Female,Yes,56,Yes,Artist,0,Average,2,Category 6
459469,Male,Yes,25,Yes,Healthcare,,Low,6,Category 6
459471,Female,No,30,No,Artist,,Low,8,Category 6
459480,Female,Yes,46,Yes,Entertainment,7,Low,3,Category 6
459481,Male,Yes,49,No,Lawyer,0,Low,2,Category 6
459482,Male,Yes,72,No,Marketing,1,Low,4,Category 6
459485,Female,Yes,79,Yes,Lawyer,,High,2,Category 6
459496,Female,No,35,Yes,Artist,,Low,3,Category 6
459497,Female,Yes,77,Yes,Lawyer,0,Low,1,Category 6
459499,Female,Yes,79,No,Lawyer,,High,2,Category 6
459503,Male,Yes,42,Yes,Healthcare,6,High,4,Category 6
459505,Female,No,42,Yes,Engineer,,Low,1,Category 6
459507,Male,Yes,67,No,Lawyer,,High,2,Category 1
459509,Male,No,26,Yes,Healthcare,1,Low,1,Category 6
459512,Male,Yes,67,Yes,Lawyer,1,High,2,Category 6
459515,Male,Yes,55,Yes,Engineer,1,Low,1,Category 6
459516,Female,,56,Yes,Artist,,Average,2,Category 6
459518,Male,Yes,63,,,,Average,4,Category 6
459535,Male,Yes,46,Yes,Artist,8,Average,2,Category 6
459536,Male,Yes,32,Yes,Healthcare,7,Low,2,Category 6
459538,Female,No,49,Yes,Homemaker,13,Low,1,Category 6
459541,Male,Yes,59,Yes,Artist,1,High,2,Category 6
459549,Male,No,22,No,Healthcare,8,Low,5,Category 4
459555,Female,No,28,Yes,Artist,8,Low,1,Category 6
459558,Male,No,28,Yes,Entertainment,1,Low,3,Category 6
459564,Male,Yes,75,Yes,Lawyer,2,Low,1,Category 6
459566,Female,Yes,37,Yes,Artist,13,Low,2,Category 6
459567,Male,Yes,50,Yes,Doctor,0,Average,2,Category 6
459571,Female,Yes,50,Yes,Executive,1,High,4,Category 6
459576,Female,Yes,88,No,Lawyer,,Low,,
459579,Female,Yes,35,Yes,Artist,3,Average,5,Category 4
459581,Female,No,35,No,,,Low,,Category 7
459582,Male,Yes,31,No,Entertainment,,Average,3,Category 6
459583,Male,Yes,46,Yes,Artist,0,Low,1,Category 6
459585,Female,Yes,50,Yes,Artist,1,Average,4,Category 6
459587,Female,No,33,Yes,Artist,7,Low,3,Category 6
459588,Male,Yes,49,Yes,Artist,0,Low,1,Category 6
459591,Male,Yes,52,Yes,Artist,1,Average,3,Category 6
459592,Male,No,25,No,Healthcare,0,Low,3,Category 6
459594,Female,Yes,41,Yes,Artist,6,Low,1,Category 6
459597,Female,Yes,68,Yes,Artist,0,High,2,Category 6
459603,Female,Yes,79,No,Lawyer,2,High,2,Category 6
459607,Male,Yes,40,Yes,Entertainment,5,Average,5,Category 6
459608,Female,No,62,Yes,Doctor,,Low,1,Category 6
459612,Male,No,21,No,Healthcare,,Low,2,Category 6
459616,Female,No,20,No,Healthcare,,Low,4,Category 1
459617,Male,No,28,Yes,Entertainment,1,Low,5,Category 6
459618,Male,Yes,57,Yes,Doctor,0,Average,2,Category 4
459621,Female,No,25,No,Healthcare,8,Low,,
459625,Female,Yes,63,No,Engineer,8,Low,1,Category 6
459626,Female,Yes,26,No,Entertainment,1,Low,3,Category 6
459632,Female,Yes,50,No,Marketing,0,High,3,Category 4
459644,Female,No,30,No,Marketing,9,Low,4,Category 2
459652,Female,No,26,No,Engineer,,Low,4,Category 4
459658,Male,Yes,61,Yes,Artist,1,Average,3,Category 6
459664,Male,No,42,Yes,Artist,3,Low,1,Category 6
459665,Male,Yes,88,Yes,Artist,4,Low,2,Category 6
459672,Male,Yes,45,No,Artist,3,Average,3,Category 6
459673,Female,Yes,86,Yes,Lawyer,1,Low,1,Category 6
459678,Male,No,18,No,Healthcare,1,Low,5,Category 6
459680,Male,No,37,Yes,Entertainment,,Low,1,Category 6
459686,Male,Yes,46,Yes,Artist,1,Low,1,Category 6
459691,Male,Yes,58,No,Artist,,Average,2,Category 6
459692,Female,Yes,72,Yes,Lawyer,8,High,2,Category 6
459693,Female,Yes,50,Yes,Artist,0,High,3,
459699,Female,,56,Yes,Engineer,8,Average,3,Category 6
459701,Male,No,46,No,Artist,3,Low,3,Category 5
459710,Male,Yes,57,Yes,Artist,,Low,1,Category 6
459711,Male,Yes,42,No,Executive,9,High,6,Category 6
459712,Male,No,20,No,Healthcare,,Low,4,Category 6
459713,Male,No,19,No,Healthcare,,Low,3,Category 6
459715,Male,No,19,No,Healthcare,4,Low,4,Category 6
459718,Male,Yes,68,Yes,Executive,1,Low,1,Category 6
459725,Female,Yes,40,Yes,Artist,0,Low,2,Category 6
459727,Male,Yes,82,No,Lawyer,,High,2,Category 6
459740,Female,No,23,No,Healthcare,1,Low,3,Category 6
459742,Female,Yes,84,No,Lawyer,1,High,2,Category 6
459745,Male,Yes,51,No,Artist,0,Low,4,Category 1
459746,Male,,59,Yes,Artist,1,Average,2,Category 6
459747,Female,Yes,41,Yes,Artist,1,Average,5,Category 6
459748,Male,Yes,51,No,Executive,1,High,2,Category 6
459755,Female,Yes,62,No,Artist,,Average,3,Category 6
459756,Female,Yes,62,No,Lawyer,1,High,4,Category 4
459760,Female,Yes,38,Yes,Artist,8,Low,1,Category 6
459763,Male,No,18,No,Artist,,Low,4,Category 4
459767,Male,No,22,No,Healthcare,3,Low,4,Category 6
459771,Female,,30,Yes,Doctor,0,Low,3,Category 3
459779,Female,Yes,62,Yes,Entertainment,1,Low,1,Category 6
459780,Female,No,43,No,Entertainment,1,Low,3,Category 6
459785,Female,No,32,Yes,Engineer,,Low,1,Category 3
459793,Male,Yes,37,Yes,Artist,1,High,,Category 6
459795,Male,No,48,Yes,Artist,1,Low,1,Category 6
459801,Female,No,31,Yes,Engineer,4,Low,2,Category 6
459804,Male,Yes,46,No,Artist,4,High,4,Category 6
459806,Female,Yes,49,No,Engineer,1,Average,4,Category 6
459808,Male,Yes,43,No,Doctor,,Average,4,Category 6
459815,Male,No,42,Yes,Artist,8,Low,1,Category 6
459816,Male,Yes,37,Yes,Doctor,,Low,2,Category 6
459819,Male,Yes,72,Yes,Entertainment,,High,2,Category 6
459821,Male,,71,No,Executive,,High,1,
459822,Female,No,39,Yes,Engineer,1,Low,1,Category 4
459825,Male,No,20,No,Healthcare,0,Low,5,Category 2
459827,Female,No,26,No,,,Low,1,Category 7
459832,Male,Yes,72,Yes,Executive,1,Low,1,Category 6
459845,Male,Yes,70,Yes,Healthcare,0,Low,1,Category 4
459851,Male,No,45,Yes,Artist,2,Low,1,Category 6
459853,Male,No,33,No,Executive,7,Low,5,Category 6
459856,Male,Yes,50,No,Entertainment,0,Average,3,Category 6
459857,Male,No,31,Yes,Entertainment,6,Low,1,Category 6
459861,Female,Yes,74,No,Lawyer,1,High,2,Category 6
459864,Female,Yes,68,No,Artist,,High,2,Category 6
459866,Female,No,49,Yes,Artist,,Low,1,Category 6
459867,Male,Yes,49,Yes,Marketing,0,High,2,Category 6
459869,Female,No,18,No,Healthcare,1,Low,3,Category 6
459871,Female,Yes,85,No,Entertainment,2,Average,2,Category 6
459885,Female,No,38,Yes,Entertainment,,Low,4,Category 6
459886,Male,Yes,28,No,Artist,0,Low,4,Category 6
459887,Male,Yes,46,No,Artist,3,Average,2,
459889,Male,Yes,59,Yes,Homemaker,9,Average,3,Category 6
459897,Female,Yes,56,Yes,Artist,0,Low,2,Category 6
459909,Male,Yes,69,Yes,Artist,0,Low,1,Category 6
459910,Male,Yes,66,Yes,Artist,0,Low,2,Category 6
459911,Male,No,18,No,Healthcare,4,Low,6,Category 2
459914,Male,No,36,Yes,Artist,4,Low,1,Category 4
459923,Male,No,31,Yes,Marketing,1,Low,2,Category 3
459925,Male,Yes,67,No,Executive,1,High,2,Category 4
459937,Female,No,39,Yes,Artist,7,Low,1,Category 6
459943,Male,No,42,Yes,Entertainment,4,Low,3,Category 6
459945,Male,Yes,50,Yes,Artist,0,Low,2,Category 6
459946,Female,Yes,37,Yes,Artist,0,Average,2,Category 6
459949,Female,No,59,Yes,Artist,0,Low,1,Category 6
459953,Male,Yes,50,Yes,Artist,8,Low,2,Category 6
459961,Male,Yes,48,Yes,Artist,8,Low,3,Category 2
459962,Male,Yes,55,Yes,Artist,9,Low,1,Category 6
459966,Female,No,33,Yes,Doctor,1,Low,3,Category 6
459968,Male,No,38,Yes,Artist,13,Low,1,Category 7
459970,Male,No,43,Yes,Artist,0,Low,2,Category 6
459973,Female,No,53,Yes,Artist,0,Low,2,Category 6
459974,Male,No,37,Yes,Entertainment,0,Low,1,Category 6
459975,Female,No,36,Yes,Artist,5,Low,1,Category 6
459981,Male,No,36,Yes,Artist,5,Low,1,Category 6
459986,Male,Yes,62,Yes,Artist,1,Low,1,Category 6
459995,Female,No,38,No,Artist,2,Low,2,Category 6
459996,Male,No,55,Yes,Entertainment,1,Low,1,Category 6
459998,Male,Yes,60,No,Entertainment,1,Average,2,Category 6
460004,Female,Yes,36,Yes,Entertainment,7,Average,2,Category 5
460006,Male,No,30,No,Entertainment,5,Low,9,Category 3
460014,Female,No,66,No,Entertainment,4,Low,3,Category 6
460023,Male,Yes,45,Yes,Entertainment,1,Low,1,Category 6
460027,Female,No,40,Yes,Entertainment,6,Low,,Category 6
460033,Female,,45,Yes,Entertainment,5,Low,3,Category 6
460036,Male,Yes,41,Yes,,2,Low,1,Category 6
460040,Female,Yes,62,Yes,Homemaker,4,Low,1,Category 5
460045,Male,Yes,61,Yes,Artist,1,Low,2,Category 6
460046,Female,Yes,50,Yes,Artist,4,Low,2,Category 6
460050,Male,Yes,53,Yes,Entertainment,3,Low,2,Category 6
460051,Male,No,39,Yes,Artist,7,Low,1,Category 6
460052,Female,No,86,Yes,Lawyer,0,Low,1,Category 3
460058,Male,Yes,50,Yes,Artist,1,Low,1,Category 4
460059,Female,No,46,No,Entertainment,4,Low,,Category 4
460061,Male,No,52,Yes,Marketing,0,Low,1,Category 3
460066,Female,No,45,No,Marketing,0,Low,1,Category 6
460068,Female,No,37,Yes,Artist,9,Low,1,Category 6
460073,Female,Yes,36,Yes,Engineer,3,Low,1,Category 6
460075,Female,No,25,Yes,Artist,,Low,1,Category 6
460079,Female,No,40,No,Doctor,1,Low,1,Category 6
460081,Male,Yes,41,Yes,Artist,11,High,2,Category 6
460088,Female,Yes,25,Yes,Homemaker,,High,2,Category 6
460090,Male,Yes,80,No,Lawyer,4,Average,2,Category 6
460093,Female,No,46,Yes,Artist,3,Low,1,Category 3
460095,Female,Yes,81,Yes,Lawyer,1,Low,1,Category 6
460097,Male,,40,Yes,Artist,0,Low,2,Category 3
460099,Male,No,49,Yes,,1,Low,1,Category 3
460101,Female,No,26,Yes,Healthcare,8,Low,3,Category 3
460103,Male,No,26,Yes,Artist,1,Low,1,Category 4
460105,Female,No,47,Yes,Artist,0,Low,1,Category 4
460106,Female,Yes,71,Yes,Entertainment,0,Low,,Category 6
460107,Male,Yes,48,Yes,Engineer,1,Average,5,Category 6
460108,Male,Yes,39,Yes,Artist,1,Average,3,Category 2
460109,Male,Yes,50,Yes,Artist,8,Average,2,Category 6
460110,Female,No,46,Yes,Artist,1,Low,2,
460112,Male,Yes,26,Yes,Engineer,8,Average,2,Category 3
460116,Female,Yes,42,Yes,,1,Low,2,Category 6
460118,Female,Yes,36,Yes,Artist,4,Low,2,Category 6
460119,Male,No,29,Yes,Healthcare,1,Low,4,Category 6
460122,Female,No,39,No,Artist,1,Low,1,Category 6
460124,Female,No,41,Yes,Artist,0,Low,3,Category 6
460126,Female,Yes,48,Yes,Marketing,8,Low,,Category 6
460134,Male,Yes,40,Yes,Entertainment,9,High,3,Category 6
460135,Female,No,25,Yes,Healthcare,4,Low,3,Category 6
460140,Female,Yes,41,Yes,Artist,7,Low,2,Category 6
460141,Male,No,37,Yes,Artist,11,Low,1,Category 6
460144,Female,No,53,Yes,Doctor,0,Low,,Category 3
460146,Female,Yes,51,Yes,Engineer,0,Average,3,Category 3
460147,Male,Yes,73,Yes,Entertainment,1,Average,3,Category 6
460157,Male,Yes,61,No,,1,Low,5,Category 4
460160,Male,No,39,Yes,Entertainment,5,Low,1,Category 3
460162,Female,No,19,No,Healthcare,0,Low,4,Category 2
460166,Female,No,19,No,Healthcare,0,Low,7,Category 2
460167,Female,No,23,No,Entertainment,1,Low,5,Category 2
460168,Male,Yes,83,Yes,Executive,0,High,2,Category 2
460171,Female,Yes,62,Yes,Artist,1,High,2,Category 6
460174,Female,No,43,Yes,Artist,9,Low,4,Category 6
460175,Female,No,27,No,Artist,0,Low,5,Category 2
460177,Male,No,50,Yes,Artist,0,Low,1,Category 6
460179,Female,No,23,No,Entertainment,0,Low,6,Category 2
460183,Male,No,35,No,Entertainment,9,Low,2,Category 6
460185,Male,No,32,No,Healthcare,9,Low,3,Category 6
460187,Female,No,42,Yes,Doctor,2,Low,3,Category 6
460189,Male,No,33,No,Entertainment,13,Low,1,Category 6
460190,Female,No,28,Yes,Entertainment,9,Low,3,Category 6
460192,Male,Yes,35,Yes,,1,Low,2,Category 7
460196,Female,No,35,Yes,Healthcare,9,Low,2,Category 6
460206,Female,Yes,39,Yes,Entertainment,0,Low,2,Category 6
460211,Male,Yes,28,,Artist,6,Low,1,Category 6
460212,Male,Yes,35,Yes,Entertainment,11,Low,6,Category 6
460214,Female,Yes,45,Yes,Engineer,0,Average,2,Category 6
460222,Female,,73,Yes,Lawyer,4,High,,Category 6
460223,Male,No,52,No,Entertainment,1,Low,1,Category 6
460227,Male,No,28,No,Healthcare,0,Low,3,Category 6
460242,Male,Yes,38,Yes,Healthcare,9,Low,3,Category 6
460243,Female,No,42,Yes,Entertainment,8,Low,1,Category 6
460247,Female,No,26,No,Doctor,9,Low,,Category 6
460248,Female,No,27,Yes,Healthcare,7,Low,2,Category 6
460252,Male,Yes,41,Yes,Artist,0,Low,2,Category 6
460263,Male,Yes,41,Yes,Artist,1,Low,2,Category 6
460265,Male,Yes,47,Yes,Executive,0,High,4,Category 6
460270,Male,No,35,Yes,Doctor,8,Low,1,Category 6
460272,Female,No,88,Yes,Lawyer,0,Low,1,Category 6
460275,Female,No,46,Yes,Artist,6,Low,1,Category 6
460276,Female,Yes,41,Yes,Artist,3,Low,2,Category 6
460281,Female,No,30,Yes,Doctor,10,Low,5,Category 6
460283,Male,Yes,43,Yes,Doctor,12,Low,2,Category 6
460284,Female,No,29,Yes,Entertainment,9,Low,2,Category 6
460287,Male,Yes,48,Yes,Artist,1,Low,1,Category 6
460289,Female,Yes,61,Yes,Artist,4,Average,6,Category 4
460298,Female,No,51,Yes,Lawyer,2,Low,1,Category 6
460303,Female,No,38,Yes,Artist,2,Low,1,
460305,Female,,49,Yes,Entertainment,0,High,1,Category 6
460306,Female,No,43,Yes,Healthcare,9,Low,1,Category 6
460310,Male,No,27,No,Healthcare,14,Low,4,Category 6
460315,Female,No,35,No,Doctor,14,Low,6,Category 7
460319,Female,Yes,39,No,Doctor,4,Average,2,Category 7
460322,Female,Yes,52,No,Engineer,9,Low,,Category 6
460323,Female,No,38,Yes,Engineer,10,Low,1,Category 6
460324,Female,No,30,Yes,Entertainment,12,Low,2,Category 6
460327,Female,No,43,Yes,Artist,10,Low,1,Category 6
460333,Female,No,42,No,Entertainment,10,Low,4,Category 6
460336,Female,No,46,Yes,Artist,2,Low,1,Category 7
460340,Female,No,47,Yes,Artist,11,Low,2,Category 6
460341,Female,No,32,No,Entertainment,13,Low,5,Category 7
460344,Female,Yes,53,Yes,Artist,11,Average,2,Category 6
460346,Female,Yes,43,Yes,Artist,12,Average,,Category 6
460348,Female,No,39,Yes,Artist,0,Low,2,Category 6
460349,Male,,42,Yes,Artist,3,Average,2,Category 6
460354,Female,No,37,Yes,Artist,3,Low,1,Category 3
460356,Male,No,19,No,Healthcare,0,Low,4,Category 6
460358,Male,No,30,No,Marketing,1,Low,1,Category 3
460361,Female,Yes,49,Yes,Artist,0,Low,1,Category 4
460362,Male,Yes,55,Yes,Healthcare,0,Low,3,Category 4
460365,Female,Yes,59,Yes,Doctor,1,Low,2,Category 4
460369,Female,Yes,46,Yes,Artist,,Low,2,Category 6
460370,Female,Yes,27,Yes,Executive,9,High,2,Category 6
460371,Female,No,25,Yes,Artist,1,Low,2,Category 6
460378,Female,No,37,Yes,Doctor,1,Low,1,Category 6
460379,Male,No,38,Yes,Artist,9,Low,3,Category 6
460380,Male,No,29,Yes,Entertainment,9,Low,3,Category 6
460381,Male,No,28,Yes,Artist,11,Low,2,Category 6
460384,Female,Yes,27,Yes,Marketing,8,Low,2,Category 6
460387,Female,No,42,No,Entertainment,3,Low,2,Category 6
460388,Female,No,43,Yes,Artist,14,Low,2,Category 6
460389,Female,Yes,40,Yes,Healthcare,8,Average,2,Category 6
460390,Male,No,41,Yes,Artist,9,Low,3,Category 6
460392,Male,Yes,46,No,Entertainment,8,Low,1,Category 1
460394,Female,No,32,Yes,Healthcare,9,Low,3,Category 6
460397,Female,No,56,Yes,Entertainment,1,Low,1,Category 6
460399,Male,No,28,Yes,Marketing,12,Low,1,Category 6
460401,Female,No,25,Yes,Artist,0,Low,3,Category 7
460404,Male,Yes,42,Yes,Artist,6,Low,7,Category 6
460405,Female,No,41,Yes,Entertainment,5,Low,2,Category 6
460406,Male,Yes,36,Yes,Healthcare,3,Low,2,Category 6
460408,Female,No,42,Yes,Artist,2,Low,1,Category 6
460409,Female,No,42,Yes,Artist,8,Low,4,Category 6
460415,Female,No,55,Yes,Entertainment,1,Low,2,Category 6
460422,Male,Yes,52,Yes,Entertainment,1,High,,Category 6
460431,Female,No,47,Yes,Engineer,1,Low,1,Category 6
460434,Male,,57,Yes,Artist,2,High,3,Category 6
460437,Female,No,26,Yes,Artist,8,Low,1,Category 6
